,aggr_answer,assessors_answer,cnt,least_common,query,some_answer
0,COMMERCIAL,COMMERCIAL,151,NOT_COMMERCIAL,"""Штиль sr1103l""",COMMERCIAL
1,COMMERCIAL,COMMERCIAL,45,NOT_COMMERCIAL,0585485sx,COMMERCIAL
2,NOT_COMMERCIAL,COMMERCIAL,15,COMMERCIAL,10р города воинской славы,COMMERCIAL
3,COMMERCIAL,COMMERCIAL,45,NOT_COMMERCIAL,135930-m/t,COMMERCIAL
4,COMMERCIAL,COMMERCIAL,10,NOT_COMMERCIAL,14813 Паола Рейна,COMMERCIAL
5,COMMERCIAL,COMMERCIAL,60,COMMERCIAL,"17""samsung 795df",COMMERCIAL
6,COMMERCIAL,COMMERCIAL,45,NOT_COMMERCIAL,1836 192 ikea,COMMERCIAL
7,COMMERCIAL,COMMERCIAL,25,NOT_COMMERCIAL,1880 metu france gun knife,COMMERCIAL
8,COMMERCIAL,COMMERCIAL,55,NOT_COMMERCIAL,190-701-000 mtd разбрасыватель,COMMERCIAL
9,COMMERCIAL,COMMERCIAL,41,NOT_COMMERCIAL,1тoy т13202,COMMERCIAL
10,NOT_COMMERCIAL,COMMERCIAL,55,COMMERCIAL,20 копеек 1936 года разновидности,NOT_COMMERCIAL
11,NOT_COMMERCIAL,COMMERCIAL,20,COMMERCIAL,22380 орифлейм,NOT_COMMERCIAL
12,COMMERCIAL,COMMERCIAL,45,NOT_COMMERCIAL,23713003 grohe,NOT_COMMERCIAL
13,COMMERCIAL,COMMERCIAL,670,NOT_COMMERCIAL,3005 смеситель керн,COMMERCIAL
14,COMMERCIAL,COMMERCIAL,45,NOT_COMMERCIAL,30754,COMMERCIAL
15,COMMERCIAL,COMMERCIAL,50,NOT_COMMERCIAL,3121040068632,NOT_COMMERCIAL
16,NOT_COMMERCIAL,COMMERCIAL,55,COMMERCIAL,35782-08,COMMERCIAL
17,COMMERCIAL,COMMERCIAL,45,NOT_COMMERCIAL,36 w 200550 lm,COMMERCIAL
18,COMMERCIAL,COMMERCIAL,241,NOT_COMMERCIAL,"3d ночник ""электровоз""",COMMERCIAL
19,COMMERCIAL,COMMERCIAL,5,COMMERCIAL,3d светильник Локомотив,COMMERCIAL
20,COMMERCIAL,COMMERCIAL,5,COMMERCIAL,3d светильник поезд,COMMERCIAL
